
[ 2021-03-19T19:32:22-0700 ] [ info ] [ codes.vapor.application ] |  | Generating assets..
[ 2021-03-19T19:32:22-0700 ] [ info ] [ codes.vapor.application ] |  | assets done
[ 2021-03-19T19:32:22-0700 ] [ notice ] [ codes.vapor.application ] |  | Server starting on http://127.0.0.1:8080
[ 2021-03-19T19:32:33-0700 ] [ info ] [ codes.vapor.application ] | request-id=71EE4214-BEA6-4BEC-988F-2B5D32D379F3 | GET /
[ 2021-03-19T19:32:33-0700 ] [ info ] [ codes.vapor.application ] | request-id=D56CE998-E927-4105-9583-9DEE9CBF9953 | GET /favicon.ico
[ 2021-03-19T19:34:44-0700 ] [ info ] [ codes.vapor.application ] |  | Generating assets..
[ 2021-03-19T19:34:44-0700 ] [ info ] [ codes.vapor.application ] |  | assets done
[ 2021-03-19T19:34:44-0700 ] [ notice ] [ codes.vapor.application ] |  | Server starting on http://127.0.0.1:8080
[ 2021-03-19T19:34:48-0700 ] [ info ] [ codes.vapor.application ] | request-id=74077194-4BEE-4706-8CC2-145DAC0CBF33 | GET /logs
[ 2021-03-19T19:34:48-0700 ] [ info ] [ codes.vapor.application ] | request-id=2023C999-28C5-4715-B3DD-0E3C99350BD1 | GET /
[ 2021-03-19T19:35:43-0700 ] [ info ] [ codes.vapor.application ] | request-id=4A7E7280-A21B-4221-AF93-97675313419F | GET /logs
[ 2021-03-19T19:35:43-0700 ] [ info ] [ codes.vapor.application ] | request-id=F430E5AC-EB90-4E63-BE3F-F7CDCCD342FC | GET /
[ 2021-03-19T19:36:12-0700 ] [ info ] [ codes.vapor.application ] |  | Generating assets..
[ 2021-03-19T19:36:12-0700 ] [ info ] [ codes.vapor.application ] |  | assets done
[ 2021-03-19T19:36:12-0700 ] [ notice ] [ codes.vapor.application ] |  | Server starting on http://127.0.0.1:8080
[ 2021-03-19T19:36:15-0700 ] [ info ] [ codes.vapor.application ] | request-id=6362789F-BA14-4786-A764-1D9E36F70693 | GET /
[ 2021-03-19T19:36:18-0700 ] [ info ] [ codes.vapor.application ] | request-id=09E2F9AF-7CA1-4122-9FAF-7C6B5D402BA6 | GET /logs
[ 2021-03-19T19:36:18-0700 ] [ info ] [ codes.vapor.application ] | request-id=D4A561F6-B19D-418A-9FCF-DFBAABF956B7 | GET /
[ 2021-03-19T19:36:41-0700 ] [ info ] [ codes.vapor.application ] |  | Generating assets..
[ 2021-03-19T19:36:41-0700 ] [ info ] [ codes.vapor.application ] |  | assets done
[ 2021-03-19T19:36:41-0700 ] [ notice ] [ codes.vapor.application ] |  | Server starting on http://127.0.0.1:8080
[ 2021-03-19T19:36:52-0700 ] [ info ] [ codes.vapor.application ] | request-id=FAE85A1B-1648-4E02-83E4-0FC07AF4D556 | GET /logs
[ 2021-03-19T19:36:57-0700 ] [ info ] [ codes.vapor.application ] | request-id=3833C4E9-CAAF-4DDB-A977-400E1FBB553A | GET /
[ 2021-03-19T19:36:57-0700 ] [ info ] [ codes.vapor.application ] | request-id=6655E2A4-6F59-4F66-8E70-5286471C5CB6 | GET /favicon.ico
[ 2021-03-19T19:36:57-0700 ] [ info ] [ codes.vapor.application ] | request-id=699922D2-67ED-4253-852B-7182D89D43AF | GET /
[ 2021-03-19T19:46:32-0700 ] [ info ] [ codes.vapor.application ] | request-id=89544620-15B9-44C3-881D-8F456B3BF6E9 | GET /logs
